16,16,16,16,17,16,16,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
16,17,16,16,16,16,16,16,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
16,16,16,16,16,16,16,16,16,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
-1,-1,-1,16,16,16,16,16,16,16,-1,-1,-1,-1,-1,-1,23,-1,-1,23,-1,-1,23,23,23,23,23,-1,-1,-1,-1,16
-1,-1,-1,-1,-1,16,16,16,16,16,0,0,0,0,-1,-1,18,-1,-1,18,-1,-1,22,22,22,22,22,-1,-1,-1,-1,17
-1,-1,-1,-1,-1,16,16,17,16,16,16,16,16,16,-1,-1,-1,-1,-1,-1,-1,-1,22,22,22,24,22,-1,-1,-1,-1,16
-1,-1,-1,-1,-1,16,16,16,16,16,17,16,16,16,0,-1,-1,-1,-1,-1,-1,-1,22,24,22,22,22,-1,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,16,16,17,16,16,16,16,-1,-1,-1,-1,-1,-1,-1,22,22,22,22,22,23,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,16,16,16,16,0,-1,-1,-1,-1,-1,-1,22,22,24,24,22,22,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,17,16,17,16,16,-1,-1,0,-1,-1,-1,22,22,22,22,22,22,-1,-1,-1,17
-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,16,16,16,16,-1,-1,18,-1,-1,-1,22,22,22,22,22,22,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,16,16,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,16,16,16,16,16
16,16,16,16,16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,-1,-1,16,16,16,17,16,16
16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,-1,-1,16,16,16,16,16,16
16,16,16,16,17,16,16,17,17,16,16,16,16,16,16,17,16,16,16,16,17,16,16,16,-1,-1,17,16,16,16,16,17
16,16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,17,16,16,16,16,-1,-1,16,16,16,16,16,16
-1,-1,-1,-1,16,16,16,16,16,17,16,17,16,16,16,16,17,16,16,16,16,16,16,16,-1,-1,16,16,16,16,16,16
-1,-1,-1,-1,-1,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,17,17,16,16,-1,-1,16,16,17,16,16,16
-1,-1,-1,-1,-1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-1,-1,16,16,16,16,17,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,16,17,16,17,16,17,16,16,16,16,16,-1,-1,-1,-1,-1,16,16,16,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,16,16,16,16,16,16,16,16,16,-1,-1,-1,-1,-1,-1,21,16,16,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,5,17
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,16,5,21
-1,-1,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,20,20,20
-1,-1,20,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,20,20
-1,20,20,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,20,20,20,20
20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,20,21,20,20,21
